   1.9750046550134806e-02	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   6.3783521863268252e+03	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.1245727737808634e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   2.9733622101558902e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   5.1069305275747657e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   7.8027270476306672e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.0802727047630667e+06	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.3802727047630667e+06	   1.9300000000000000e+06	   9.0000000000000000e+05	   9.2921495773020129e+11	   7.9261087578521179e+11	   6.7007905150864502e+11	   5.9772575939159412e+11	   5.3990598999082819e+11	
   1.6793375380395970e+06	   1.9100000000000000e+06	   8.9000000000000000e+05	   1.0086158540575656e+12	   8.8428831057466565e+11	   7.5750400945334155e+11	   6.7288203496987646e+11	   6.0154948528551489e+11	
   1.9725567880586388e+06	   1.8816000000000000e+06	   8.8840000000000000e+05	   1.1223932634028220e+12	   1.1822928416063462e+12	   1.0785409912841697e+12	   1.0110696818477889e+12	   9.5571718086574438e+11	
   2.2688310945902327e+06	   1.8544000000000000e+06	   8.8560000000000000e+05	   1.7473885883851077e+12	   1.6135887573729612e+12	   1.5062762007035959e+12	   1.4159457307185334e+12	   1.3376320559005422e+12	
   2.5688310945902327e+06	   1.8200000000000000e+06	   8.9000000000000000e+05	   2.6867949668687007e+12	   2.3977556666543032e+12	   2.1930008256821809e+12	   2.0109345084875210e+12	   1.8876760613077812e+12	
   2.8688310945902327e+06	   1.7440000000000000e+06	   9.3600000000000000e+05	   2.5103857260166455e+12	   2.2129499736252109e+12	   1.9910683057507515e+12	   1.8076128100252227e+12	   1.6348307016455916e+12	
   3.1688310945902327e+06	   1.7200000000000000e+06	   9.3000000000000000e+05	   2.8508075753623291e+12	   2.5858755603763965e+12	   2.1927172254305166e+12	   2.1423710406506782e+12	   2.1987153918148921e+12	
