   1.8418278316035864e-02	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   5.9174737367958678e+03	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.0152653188983696e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   2.9094355152154499e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   5.0952793439922569e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   7.6278293501438282e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.0586858573181788e+06	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.3586858573181788e+06	   1.9300000000000000e+06	   9.0000000000000000e+05	   8.5532465563557642e+11	   7.2640843318709851e+11	   6.2682093634482922e+11	   5.6483935440181165e+11	   5.1382113817168970e+11	
   1.6583977726313625e+06	   1.9100000000000000e+06	   8.9000000000000000e+05	   9.3443792253544519e+11	   8.0116193715681641e+11	   7.1172654443424243e+11	   6.3284650319331958e+11	   5.7091332940911658e+11	
   1.9524419026039578e+06	   1.8816000000000000e+06	   8.8840000000000000e+05	   1.0393559941243130e+12	   1.0266857494919050e+12	   9.3198419917376514e+11	   8.7372635658083447e+11	   8.2155364376321960e+11	
   2.2487571219281065e+06	   1.8544000000000000e+06	   8.8560000000000000e+05	   1.5849615444598230e+12	   1.4685751865638586e+12	   1.3712718090558396e+12	   1.2950720144375715e+12	   1.2238578579677358e+12	
   2.5487571219281065e+06	   1.8200000000000000e+06	   8.9000000000000000e+05	   2.4886374321080229e+12	   2.2772908839096821e+12	   2.0813911870021960e+12	   1.9418310100245454e+12	   1.7950167125498064e+12	
   2.8487571219281065e+06	   1.7460000000000000e+06	   9.3400000000000000e+05	   2.6633017833573828e+12	   2.2744827218008848e+12	   2.0163945796957078e+12	   1.7987853475997075e+12	   1.6798180141659504e+12	
   3.1487571219281065e+06	   1.7220000000000000e+06	   9.2800000000000000e+05	   2.2736677760475112e+12	   2.2444884925205718e+12	   2.0389044389224126e+12	   2.0477844477817256e+12	   1.9603289750665676e+12	
   3.4487571219281065e+06	   1.6840000000000000e+06	   9.3600000000000000e+05	   2.7184630131865308e+12	   2.5700102487251147e+12	   2.3705256327527192e+12	   2.2663154502473926e+12	   2.3384923580096948e+12	
   3.7475507767331973e+06	   1.6500000000000000e+06	   9.4000000000000000e+05	   2.9247043621565449e+12	   2.6464950974410605e+12	   2.3933270986506509e+12	   2.1537000456626812e+12	   2.1183070128958367e+12	
   4.0386293124570502e+06	   1.6140000000000000e+06	   9.4600000000000000e+05	   3.5128073956238193e+12	   3.6904751269312139e+12	   4.4110929430118691e+12	   3.2958041237931382e+12	   2.7147079154363584e+12	
   4.3374368967133639e+06	   1.5800000000000000e+06	   9.5000000000000000e+05	   3.5830996841018901e+12	   3.4404889164018379e+12	   2.9763754045007124e+12	   2.6948297888746846e+12	   2.3535496849995117e+12	
   4.6374368967133630e+06	   1.5480000000000000e+06	   9.5200000000000000e+05	   8.5684145974085410e+12	   6.0406417849422979e+12	   8.6041435292628867e+12	   6.7904984619281885e+12	   2.8902046495420210e+12	
   4.7953227598552052e+06	   1.5231200000000000e+06	   9.6688000000000000e+05	   4.8413686188824812e+13	   7.7282971022288188e+13	   4.6044175569978930e+13	   5.1848390505414938e+13	   4.6195545225324133e+13	
   4.9026156618747748e+06	   1.4990000000000000e+06	   9.7100000000000000e+05	   5.9425980268126031e+13	   2.3446247007966025e+14	   2.8517045738880838e+14	   3.0470489418180775e+14	   2.6838942125926044e+14	
   5.0122742977395542e+06	   1.4730000000000000e+06	   9.7700000000000000e+05	   1.6334481136399600e+14	   4.6553063384931800e+14	   6.6677562149174038e+14	   1.0248637479507960e+15	   6.9739537673222912e+14	
   5.0610318012064435e+06	   1.4345000000000000e+06	   9.7550000000000000e+05	   3.9372912497430734e+13	   4.4013424523494797e+13	   5.1597677008632602e+13	   4.8364689581512742e+13	   4.4566559460015141e+13	
   5.1017843918732516e+06	   1.3985000000000000e+06	   9.8150000000000000e+05	   3.1193179506173181e+14	   2.4546706240108081e+14	   2.2861049118715809e+14	   1.4240815394052025e+14	   1.2623988361423416e+14	
   5.1448696302244160e+06	   1.3690000000000000e+06	   9.8100000000000000e+05	   3.4712017357108176e+13	   3.4234968238098508e+13	   3.6639540915085805e+13	   7.4854955710222109e+13	   5.7290287084516375e+13	
   5.1956178307948178e+06	   1.3445000000000000e+06	   9.7550000000000000e+05	   6.5144357472311312e+13	   9.2093968687795438e+13	   9.6220109249436250e+13	   8.4296485085617219e+13	   1.1098932588816077e+14	
